HGNC ID	Approved symbol	Approved name	Ensembl gene ID	UniProt accession
HGNC:7582	MYL1	myosin light chain 1	ENSG00000168530	P05976
HGNC:7583	MYL2	myosin light chain 2	ENSG00000111245	P10916
HGNC:7584	MYL3	myosin light chain 3	ENSG00000160808	P08590
HGNC:7585	MYL4	myosin light chain 4	ENSG00000198336	P12829
HGNC:7586	MYL5	myosin light chain 5	ENSG00000215375	Q02045
HGNC:7587	MYL6	myosin light chain 6	ENSG00000092841	P60660
HGNC:29823	MYL6B	myosin light chain 6B	ENSG00000196465	P14649
HGNC:21719	MYL7	myosin light chain 7	ENSG00000106631	Q01449
HGNC:15754	MYL9	myosin light chain 9	ENSG00000101335	P24844
HGNC:29825	MYL10	myosin light chain 10	ENSG00000106436	Q9BUA6
HGNC:16701	MYL12A	myosin light chain 12A	ENSG00000101608	P19105
HGNC:29827	MYL12B	myosin light chain 12B	ENSG00000118680	O14950
HGNC:7590	MYLK	myosin light chain kinase	ENSG00000065534	Q15746
HGNC:16243	MYLK2	myosin light chain kinase 2	ENSG00000101306	Q9H1R3
HGNC:29826	MYLK3	myosin light chain kinase 3	ENSG00000140795	Q32MK0
HGNC:27972	MYLK4	myosin light chain kinase family member 4	ENSG00000145949	Q86YV6
HGNC:29824	MYLPF	myosin light chain, phosphorylatable, fast skeletal muscle	ENSG00000180209	Q96A32
HGNC:33778	MYMK	myomaker, myoblast fusion factor	ENSG00000187616	A6NI61
HGNC:14955	MYNN	myoneurin	ENSG00000085274	Q9NPC7
HGNC:7595	MYO1A	myosin IA	ENSG00000166866	Q9UBC5
HGNC:7596	MYO1B	myosin IB	ENSG00000128641	O43795
HGNC:7597	MYO1C	myosin IC	ENSG00000197879	O00159
HGNC:7598	MYO1D	myosin ID	ENSG00000176658	O94832
HGNC:7599	MYO1E	myosin IE	ENSG00000157483	Q12965
HGNC:7600	MYO1F	myosin IF	ENSG00000142347	O00160
HGNC:13880	MYO1G	myosin IG	ENSG00000136286	B0I1T2
HGNC:13879	MYO1H	myosin IH	ENSG00000174527	Q8N1T3
HGNC:7601	MYO3A	myosin IIIA	ENSG00000095777	Q8NEV4
HGNC:15576	MYO3B	myosin IIIB	ENSG00000071909	Q8WXR4
HGNC:7602	MYO5A	myosin VA	ENSG00000197535	Q9Y4I1
HGNC:7603	MYO5B	myosin VB	ENSG00000167306	Q9ULV0
HGNC:7604	MYO5C	myosin VC	ENSG00000128833	Q9NQX4
HGNC:7605	MYO6	myosin VI	ENSG00000196586	Q9UM54
HGNC:7606	MYO7A	myosin VIIA	ENSG00000137474	Q13402
HGNC:7607	MYO7B	myosin VIIB	ENSG00000169994	Q6PIF6
HGNC:7608	MYO9A	myosin IXA	ENSG00000066933	B2RTY4
HGNC:7609	MYO9B	myosin IXB	ENSG00000099331	Q13459
HGNC:7593	MYO10	myosin X	ENSG00000145555	Q9HD67
HGNC:7594	MYO15A	myosin XVA	ENSG00000091536	Q9UKN7
HGNC:29822	MYO16	myosin XVI	ENSG00000041515	Q9Y6X6
HGNC:31104	MYO18A	myosin XVIIIA	ENSG00000196535	Q92614
HGNC:18150	MYO18B	myosin XVIIIB	ENSG00000133454	Q8IUG5
HGNC:26234	MYO19	myosin XIX	ENSG00000278259	Q96H55
HGNC:7610	MYOC	myocilin	ENSG00000034971	Q99972
HGNC:16067	MYOCD	myocardin	ENSG00000141052	Q8IZQ8
HGNC:3656	MYOF	myoferlin	ENSG00000138119	Q9NZM1
HGNC:7612	MYOG	myogenin	ENSG00000122180	P15173
HGNC:7613	MYOM1	myomesin 1	ENSG00000101605	P52179
HGNC:7614	MYOM2	myomesin 2	ENSG00000036448	P54296
HGNC:26679	MYOM3	myomesin 3	ENSG00000142661	Q5VTT5
HGNC:19918	MYORG	myogenesis regulating glycosidase (putative)	ENSG00000164976	Q6NSJ0
HGNC:12399	MYOT	myotilin	ENSG00000120729	Q9UBF9
HGNC:13752	MYOZ1	myozenin 1	ENSG00000177791	Q9NP98
HGNC:1330	MYOZ2	myozenin 2	ENSG00000172399	Q9NPC6
HGNC:18565	MYOZ3	myozenin 3	ENSG00000164591	Q8TDC0
HGNC:23246	MYPN	myopalladin	ENSG00000138347	Q86TC9
HGNC:26316	MYRFL	myelin regulatory factor like	ENSG00000166268	Q96LU7
HGNC:29401	MYSM1	Myb like, SWIRM and MPN domains 1	ENSG00000162601	Q5VVJ2
HGNC:7622	MYT1	myelin transcription factor 1	ENSG00000196132	Q01538
HGNC:43444	MYZAP	myocardial zonula adherens protein	ENSG00000263155	P0CAP1
HGNC:30125	MZB1	marginal zone B and B1 cell specific protein	ENSG00000170476	Q8WU39
HGNC:13108	MZF1	myeloid zinc finger 1	ENSG00000099326	P28698
HGNC:33830	MZT1	mitotic spindle organizing protein 1	ENSG00000204899	Q08AG7
HGNC:33187	MZT2A	mitotic spindle organizing protein 2A	ENSG00000173272	Q6P582
HGNC:25886	MZT2B	mitotic spindle organizing protein 2B	ENSG00000152082	Q6NZ67
HGNC:29850	N4BP1	NEDD4 binding protein 1	ENSG00000102921	O75113
HGNC:29851	N4BP2	NEDD4 binding protein 2	ENSG00000078177	Q86UW6
HGNC:25037	N4BP2L1	NEDD4 binding protein 2 like 1	ENSG00000139597	Q5TBK1
HGNC:26916	N4BP2L2	NEDD4 binding protein 2 like 2	ENSG00000244754	Q92802
HGNC:29852	N4BP3	NEDD4 binding protein 3	ENSG00000145911	O15049
HGNC:16021	N6AMT1	N-6 adenine-specific DNA methyltransferase 1	ENSG00000156239	Q9Y5N5
HGNC:18704	NAA10	N(alpha)-acetyltransferase 10, NatA catalytic subunit	ENSG00000102030	P41227
HGNC:28125	NAA11	N(alpha)-acetyltransferase 11, NatA catalytic subunit	ENSG00000156269	Q9BSU3
HGNC:30782	NAA15	N(alpha)-acetyltransferase 15, NatA auxiliary subunit	ENSG00000164134	Q9BXJ9
HGNC:26164	NAA16	N(alpha)-acetyltransferase 16, NatA auxiliary subunit	ENSG00000172766	Q6N069
HGNC:25783	NAA25	N(alpha)-acetyltransferase 25, NatB auxiliary subunit	ENSG00000111300	Q14CX7
HGNC:19844	NAA30	N(alpha)-acetyltransferase 30, NatC catalytic subunit	ENSG00000139977	Q147X3
HGNC:24340	NAA35	N(alpha)-acetyltransferase 35, NatC auxiliary subunit	ENSG00000135040	Q5VZE5
HGNC:25845	NAA40	N(alpha)-acetyltransferase 40, NatD catalytic subunit	ENSG00000110583	Q86UY6
HGNC:25875	NAA60	N(alpha)-acetyltransferase 60, NatF catalytic subunit	ENSG00000122390	Q9H7X0
HGNC:30252	NAA80	N(alpha)-acetyltransferase 80, NatH catalytic subunit	ENSG00000243477	Q93015
HGNC:736	NAAA	N-acylethanolamine acid amidase	ENSG00000138744	Q02083
HGNC:14526	NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2	ENSG00000077616	Q9Y3Q0
HGNC:23536	NAALADL1	N-acetylated alpha-linked acidic dipeptidase like 1	ENSG00000168060	Q9UQQ1
HGNC:23219	NAALADL2	N-acetylated alpha-linked acidic dipeptidase like 2	ENSG00000177694	Q58DX5
HGNC:7626	NAB1	NGFI-A binding protein 1	ENSG00000138386	Q13506
HGNC:7627	NAB2	NGFI-A binding protein 2	ENSG00000166886	Q15742
HGNC:28412	NABP2	nucleic acid binding protein 2	ENSG00000139579	Q9BQ15
HGNC:22196	NACAD	NAC alpha domain containing	ENSG00000136274	O15069
HGNC:20967	NACC1	nucleus accumbens associated 1	ENSG00000160877	Q96RE7
HGNC:23846	NACC2	NACC family member 2	ENSG00000148411	Q96BF6
HGNC:29831	NADK	NAD kinase	ENSG00000008130	O95544
HGNC:26404	NADK2	NAD kinase 2, mitochondrial	ENSG00000152620	Q4G0N4
HGNC:29832	NADSYN1	NAD synthetase 1	ENSG00000172890	Q6IA69
HGNC:621	NAE1	NEDD8 activating enzyme E1 subunit 1	ENSG00000159593	Q13564
HGNC:25126	NAF1	nuclear assembly factor 1 ribonucleoprotein	ENSG00000145414	Q96HR8
HGNC:7631	NAGA	alpha-N-acetylgalactosaminidase	ENSG00000198951	P17050
HGNC:17174	NAGK	N-acetylglucosamine kinase	ENSG00000124357	Q9UJ70
HGNC:7632	NAGLU	N-acetyl-alpha-glucosaminidase	ENSG00000108784	P54802
HGNC:17378	NAGPA	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	ENSG00000103174	Q9UK23
HGNC:7634	NAIP	NLR family apoptosis inhibitory protein	ENSG00000249437	Q13075
HGNC:19082	NALCN	sodium leak channel, non-selective	ENSG00000102452	Q8IZF0
HGNC:30092	NAMPT	nicotinamide phosphoribosyltransferase	ENSG00000105835	P43490
HGNC:20857	NANOG	Nanog homeobox	ENSG00000111704	Q9H9S0
HGNC:24958	NANOGNB	NANOG neighbor homeobox	ENSG00000205857	Q7Z5D8
HGNC:23044	NANOS1	nanos C2HC-type zinc finger 1	ENSG00000188613	Q8WY41
HGNC:23292	NANOS2	nanos C2HC-type zinc finger 2	ENSG00000188425	P60321
HGNC:22048	NANOS3	nanos C2HC-type zinc finger 3	ENSG00000187556	P60323
HGNC:16140	NANP	N-acetylneuraminic acid phosphatase	ENSG00000170191	Q8TBE9
HGNC:19237	NANS	N-acetylneuraminate synthase	ENSG00000095380	Q9NR45
HGNC:7637	NAP1L1	nucleosome assembly protein 1 like 1	ENSG00000187109	P55209
HGNC:7640	NAP1L4	nucleosome assembly protein 1 like 4	ENSG00000205531	Q99733
HGNC:19968	NAP1L5	nucleosome assembly protein 1 like 5	ENSG00000177432	Q96NT1
HGNC:31706	NAP1L6	nucleosome assembly protein 1 like 6	ENSG00000204118	A6NFF2
HGNC:7641	NAPA	NSF attachment protein alpha	ENSG00000105402	P54920
HGNC:15751	NAPB	NSF attachment protein beta	ENSG00000125814	Q9H115
HGNC:21683	NAPEPLD	N-acyl phosphatidylethanolamine phospholipase D	ENSG00000161048	Q6IQ20
HGNC:7642	NAPG	NSF attachment protein gamma	ENSG00000134265	Q99747
HGNC:30450	NAPRT	nicotinate phosphoribosyltransferase	ENSG00000147813	Q6XQN6
HGNC:13395	NAPSA	napsin A aspartic peptidase	ENSG00000131400	O96009
HGNC:7643	NARS	asparaginyl-tRNA synthetase	ENSG00000134440	O43776
HGNC:26274	NARS2	asparaginyl-tRNA synthetase 2, mitochondrial	ENSG00000137513	Q96I59
HGNC:7644	NASP	nuclear autoantigenic sperm protein	ENSG00000132780	P49321
HGNC:7645	NAT1	N-acetyltransferase 1	ENSG00000171428	P18440
HGNC:7646	NAT2	N-acetyltransferase 2	ENSG00000156006	P11245
HGNC:18069	NAT8	N-acetyltransferase 8 (putative)	ENSG00000144035	Q9UHE5
HGNC:23133	NAT9	N-acetyltransferase 9 (putative)	ENSG00000109065	Q9BTE0
HGNC:29830	NAT10	N-acetyltransferase 10	ENSG00000135372	Q9H0A0
HGNC:22030	NAT16	N-acetyltransferase 16 (putative)	ENSG00000167011	Q8N8M0
HGNC:15989	NAV1	neuron navigator 1	ENSG00000134369	Q8NEY1
HGNC:15997	NAV2	neuron navigator 2	ENSG00000166833	Q8IVL1
HGNC:15998	NAV3	neuron navigator 3	ENSG00000067798	Q8IVL0
HGNC:25576	NAXD	NAD(P)HX dehydratase	ENSG00000213995	Q8IW45
HGNC:18453	NAXE	NAD(P)HX epimerase	ENSG00000163382	Q8NCW5
HGNC:15625	NBAS	neuroblastoma amplified sequence	ENSG00000151779	A2RRP1
HGNC:7648	NBEA	neurobeachin	ENSG00000172915	Q8NFP9
HGNC:20681	NBEAL1	neurobeachin like 1	ENSG00000144426	Q6ZS30
HGNC:31928	NBEAL2	neurobeachin like 2	ENSG00000160796	Q6ZNJ1
HGNC:7650	NBL1	NBL1, DAN family BMP antagonist	ENSG00000158747	P41271
HGNC:7652	NBN	nibrin	ENSG00000104320	O60934
HGNC:26088	NBPF1	NBPF member 1	ENSG00000219481	Q3BBV0
HGNC:25076	NBPF3	NBPF member 3	ENSG00000142794	Q9H094
HGNC:26550	NBPF4	NBPF member 4	ENSG00000196427	Q96M43
HGNC:31988	NBPF6	NBPF member 6	ENSG00000186086	Q5VWK0
HGNC:31991	NBPF9	NBPF member 9	ENSG00000269713	P0DPF3
HGNC:31992	NBPF10	NBPF member 10	ENSG00000271425	Q6P3W6
HGNC:31993	NBPF11	NBPF member 11	ENSG00000263956	Q86T75
HGNC:24297	NBPF12	NBPF member 12	ENSG00000268043	Q5TAG4
HGNC:25232	NBPF14	NBPF member 14	ENSG00000270629	Q5TI25
HGNC:28791	NBPF15	NBPF member 15	ENSG00000266338	Q8N660
HGNC:31999	NBPF19	NBPF member 19	ENSG00000271383	A0A087WUL8
HGNC:32000	NBPF20	NBPF member 20	ENSG00000162825	P0DPF2
HGNC:49571	NBPF26	NBPF member 26	ENSG00000273136	B4DH59
HGNC:6746	NBR1	NBR1 autophagy cargo receptor	ENSG00000188554	Q14596
HGNC:7655	NCALD	neurocalcin delta	ENSG00000104490	P61601
HGNC:7656	NCAM1	neural cell adhesion molecule 1	ENSG00000149294	P13591
HGNC:7657	NCAM2	neural cell adhesion molecule 2	ENSG00000154654	O15394
HGNC:2465	NCAN	neurocan	ENSG00000130287	O14594
HGNC:24305	NCAPD2	non-SMC condensin I complex subunit D2	ENSG00000010292	Q15021
HGNC:24304	NCAPG	non-SMC condensin I complex subunit G	ENSG00000109805	Q9BPX3
HGNC:21904	NCAPG2	non-SMC condensin II complex subunit G2	ENSG00000146918	Q86XI2
HGNC:1112	NCAPH	non-SMC condensin I complex subunit H	ENSG00000121152	Q15003
HGNC:25071	NCAPH2	non-SMC condensin II complex subunit H2	ENSG00000025770	Q6IBW4
HGNC:7658	NCBP1	nuclear cap binding protein subunit 1	ENSG00000136937	Q09161
HGNC:7659	NCBP2	nuclear cap binding protein subunit 2	ENSG00000114503	P52298
HGNC:31795	NCBP2L	nuclear cap binding protein subunit 2 like	ENSG00000170935	A6PVI3
HGNC:24612	NCBP3	nuclear cap binding subunit 3	ENSG00000074356	Q53F19
HGNC:33739	NCCRP1	non-specific cytotoxic cell receptor protein 1 homolog (zebrafish)	ENSG00000188505	Q6ZVX7
HGNC:17597	NCDN	neurochondrin	ENSG00000020129	Q9UBB6
HGNC:29260	NCEH1	neutral cholesterol ester hydrolase 1	ENSG00000144959	Q6PIU2
HGNC:7660	NCF1	neutrophil cytosolic factor 1	ENSG00000158517	P14598
HGNC:7661	NCF2	neutrophil cytosolic factor 2	ENSG00000116701	P19878
HGNC:7662	NCF4	neutrophil cytosolic factor 4	ENSG00000100365	Q15080
HGNC:7664	NCK1	NCK adaptor protein 1	ENSG00000158092	P16333
HGNC:7665	NCK2	NCK adaptor protein 2	ENSG00000071051	O43639
HGNC:7666	NCKAP1	NCK associated protein 1	ENSG00000061676	Q9Y2A7
HGNC:4862	NCKAP1L	NCK associated protein 1 like	ENSG00000123338	P55160
HGNC:29847	NCKAP5	NCK associated protein 5	ENSG00000176771	O14513
HGNC:29321	NCKAP5L	NCK associated protein 5 like	ENSG00000167566	Q9HCH0
HGNC:7667	NCL	nucleolin	ENSG00000115053	P19338
HGNC:26923	NCLN	nicalin	ENSG00000125912	Q969V3
HGNC:29332	NCMAP	non-compact myelin associated protein	ENSG00000184454	Q5T1S8
HGNC:7668	NCOA1	nuclear receptor coactivator 1	ENSG00000084676	Q15788
HGNC:7670	NCOA3	nuclear receptor coactivator 3	ENSG00000124151	Q9Y6Q9
HGNC:7671	NCOA4	nuclear receptor coactivator 4	ENSG00000266412	Q13772
HGNC:15909	NCOA5	nuclear receptor coactivator 5	ENSG00000124160	Q9HCD5
HGNC:15936	NCOA6	nuclear receptor coactivator 6	ENSG00000198646	Q14686
HGNC:21081	NCOA7	nuclear receptor coactivator 7	ENSG00000111912	Q8NI08
HGNC:7672	NCOR1	nuclear receptor corepressor 1	ENSG00000141027	O75376
HGNC:7673	NCOR2	nuclear receptor corepressor 2	ENSG00000196498	Q9Y618
HGNC:6732	NCR2	natural cytotoxicity triggering receptor 2	ENSG00000096264	O95944
HGNC:42400	NCR3LG1	natural killer cell cytotoxicity receptor 3 ligand 1	ENSG00000188211	Q68D85
HGNC:3953	NCS1	neuronal calcium sensor 1	ENSG00000107130	P62166
HGNC:17091	NCSTN	nicastrin	ENSG00000162736	Q92542
HGNC:25525	NDC1	NDC1 transmembrane nucleoporin	ENSG00000058804	Q9BTX1
HGNC:17619	NDE1	nudE neurodevelopment protein 1	ENSG00000072864	Q9NXR1
HGNC:17620	NDEL1	nudE neurodevelopment protein 1 like 1	ENSG00000166579	Q9GZM8
HGNC:17592	NDFIP1	Nedd4 family interacting protein 1	ENSG00000131507	Q9BT67
HGNC:18537	NDFIP2	Nedd4 family interacting protein 2	ENSG00000102471	Q9NV92
HGNC:29838	NDOR1	NADPH dependent diflavin oxidoreductase 1	ENSG00000188566	Q9UHB4
HGNC:7678	NDP	norrin cystine knot growth factor NDP	ENSG00000124479	Q00604
HGNC:7679	NDRG1	N-myc downstream regulated 1	ENSG00000104419	Q92597
HGNC:14460	NDRG2	NDRG family member 2	ENSG00000165795	Q9UN36
HGNC:14462	NDRG3	NDRG family member 3	ENSG00000101079	Q9UGV2
HGNC:14466	NDRG4	NDRG family member 4	ENSG00000103034	Q9ULP0
HGNC:7680	NDST1	N-deacetylase and N-sulfotransferase 1	ENSG00000070614	P52848
HGNC:7681	NDST2	N-deacetylase and N-sulfotransferase 2	ENSG00000166507	P52849
HGNC:7682	NDST3	N-deacetylase and N-sulfotransferase 3	ENSG00000164100	O95803
HGNC:20779	NDST4	N-deacetylase and N-sulfotransferase 4	ENSG00000138653	Q9H3R1
HGNC:7683	NDUFA1	NADH:ubiquinone oxidoreductase subunit A1	ENSG00000125356	O15239
HGNC:7685	NDUFA2	NADH:ubiquinone oxidoreductase subunit A2	ENSG00000131495	O43678
HGNC:7686	NDUFA3	NADH:ubiquinone oxidoreductase subunit A3	ENSG00000170906	O95167
HGNC:7688	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5	ENSG00000128609	Q16718
HGNC:7691	NDUFA7	NADH:ubiquinone oxidoreductase subunit A7	ENSG00000267855	O95182
HGNC:7692	NDUFA8	NADH:ubiquinone oxidoreductase subunit A8	ENSG00000119421	P51970
HGNC:7693	NDUFA9	NADH:ubiquinone oxidoreductase subunit A9	ENSG00000139180	Q16795
HGNC:23987	NDUFA12	NADH:ubiquinone oxidoreductase subunit A12	ENSG00000184752	Q9UI09
HGNC:17194	NDUFA13	NADH:ubiquinone oxidoreductase subunit A13	ENSG00000186010	Q9P0J0
HGNC:7694	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1	ENSG00000004779	O14561
HGNC:18828	NDUFAF1	NADH:ubiquinone oxidoreductase complex assembly factor 1	ENSG00000137806	Q9Y375
HGNC:28086	NDUFAF2	NADH:ubiquinone oxidoreductase complex assembly factor 2	ENSG00000164182	Q8N183
HGNC:29918	NDUFAF3	NADH:ubiquinone oxidoreductase complex assembly factor 3	ENSG00000178057	Q9BU61
HGNC:21034	NDUFAF4	NADH:ubiquinone oxidoreductase complex assembly factor 4	ENSG00000123545	Q9P032
HGNC:15899	NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5	ENSG00000101247	Q5TEU4
HGNC:28625	NDUFAF6	NADH:ubiquinone oxidoreductase complex assembly factor 6	ENSG00000156170	Q330K2
HGNC:28816	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7	ENSG00000003509	Q7L592
HGNC:33551	NDUFAF8	NADH:ubiquinone oxidoreductase complex assembly factor 8	ENSG00000224877	A1L188
HGNC:7697	NDUFB2	NADH:ubiquinone oxidoreductase subunit B2	ENSG00000090266	O95178
HGNC:7698	NDUFB3	NADH:ubiquinone oxidoreductase subunit B3	ENSG00000119013	O43676
HGNC:7699	NDUFB4	NADH:ubiquinone oxidoreductase subunit B4	ENSG00000065518	O95168
HGNC:7700	NDUFB5	NADH:ubiquinone oxidoreductase subunit B5	ENSG00000136521	O43674
HGNC:7701	NDUFB6	NADH:ubiquinone oxidoreductase subunit B6	ENSG00000165264	O95139
HGNC:7702	NDUFB7	NADH:ubiquinone oxidoreductase subunit B7	ENSG00000099795	P17568
HGNC:7703	NDUFB8	NADH:ubiquinone oxidoreductase subunit B8	ENSG00000166136	O95169
HGNC:7704	NDUFB9	NADH:ubiquinone oxidoreductase subunit B9	ENSG00000147684	Q9Y6M9
HGNC:7696	NDUFB10	NADH:ubiquinone oxidoreductase subunit B10	ENSG00000140990	O96000
HGNC:20372	NDUFB11	NADH:ubiquinone oxidoreductase subunit B11	ENSG00000147123	Q9NX14
HGNC:7705	NDUFC1	NADH:ubiquinone oxidoreductase subunit C1	ENSG00000109390	O43677
HGNC:7706	NDUFC2	NADH:ubiquinone oxidoreductase subunit C2	ENSG00000151366	O95298
HGNC:42956	NDUFC2-KCTD14	NDUFC2-KCTD14 readthrough	ENSG00000259112	E9PQ53
HGNC:7707	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1	ENSG00000023228	P28331
HGNC:7708	NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2	ENSG00000158864	O75306
HGNC:7710	NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3	ENSG00000213619	O75489
HGNC:7711	NDUFS4	NADH:ubiquinone oxidoreductase subunit S4	ENSG00000164258	O43181
HGNC:7712	NDUFS5	NADH:ubiquinone oxidoreductase subunit S5	ENSG00000168653	O43920
HGNC:7713	NDUFS6	NADH:ubiquinone oxidoreductase subunit S6	ENSG00000145494	O75380
HGNC:7715	NDUFS8	NADH:ubiquinone oxidoreductase core subunit S8	ENSG00000110717	O00217
HGNC:7716	NDUFV1	NADH:ubiquinone oxidoreductase core subunit V1	ENSG00000167792	P49821
HGNC:7717	NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2	ENSG00000178127	P19404
HGNC:7719	NDUFV3	NADH:ubiquinone oxidoreductase subunit V3	ENSG00000160194	P56181
HGNC:7720	NEB	nebulin	ENSG00000183091	P20929
HGNC:16932	NEBL	nebulette	ENSG00000078114	O76041
HGNC:20983	NECAB1	N-terminal EF-hand calcium binding protein 1	ENSG00000123119	Q8N987
HGNC:23746	NECAB2	N-terminal EF-hand calcium binding protein 2	ENSG00000103154	Q7Z6G3
HGNC:24539	NECAP1	NECAP endocytosis associated 1	ENSG00000089818	Q8NC96
HGNC:25528	NECAP2	NECAP endocytosis associated 2	ENSG00000157191	Q9NVZ3
HGNC:9706	NECTIN1	nectin cell adhesion molecule 1	ENSG00000110400	Q15223
HGNC:9707	NECTIN2	nectin cell adhesion molecule 2	ENSG00000130202	Q92692
HGNC:17664	NECTIN3	nectin cell adhesion molecule 3	ENSG00000177707	Q9NQS3
HGNC:19688	NECTIN4	nectin cell adhesion molecule 4	ENSG00000143217	Q96NY8
HGNC:7723	NEDD1	neural precursor cell expressed, developmentally down-regulated 1	ENSG00000139350	Q8NHV4
HGNC:7727	NEDD4	neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase	ENSG00000069869	P46934
HGNC:7728	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase	ENSG00000049759	Q96PU5
HGNC:7732	NEDD8	neural precursor cell expressed, developmentally down-regulated 8	ENSG00000129559	Q15843
HGNC:39551	NEDD8-MDP1	NEDD8-MDP1 readthrough	ENSG00000255526	
HGNC:7733	NEDD9	neural precursor cell expressed, developmentally down-regulated 9	ENSG00000111859	Q14511
HGNC:7737	NEFH	neurofilament heavy	ENSG00000100285	P12036
HGNC:7739	NEFL	neurofilament light	ENSG00000277586	P07196
HGNC:7734	NEFM	neurofilament medium	ENSG00000104722	P07197
HGNC:17302	NEGR1	neuronal growth regulator 1	ENSG00000172260	Q7Z3B1
HGNC:18448	NEIL1	nei like DNA glycosylase 1	ENSG00000140398	Q96FI4
HGNC:7744	NEK1	NIMA related kinase 1	ENSG00000137601	Q96PY6
HGNC:7745	NEK2	NIMA related kinase 2	ENSG00000117650	P51955
HGNC:7746	NEK3	NIMA related kinase 3	ENSG00000136098	P51956
HGNC:11399	NEK4	NIMA related kinase 4	ENSG00000114904	P51957
HGNC:7748	NEK5	NIMA related kinase 5	ENSG00000197168	Q6P3R8
HGNC:7749	NEK6	NIMA related kinase 6	ENSG00000119408	Q9HC98
HGNC:13386	NEK7	NIMA related kinase 7	ENSG00000151414	Q8TDX7
HGNC:13387	NEK8	NIMA related kinase 8	ENSG00000160602	Q86SG6
HGNC:18591	NEK9	NIMA related kinase 9	ENSG00000119638	Q8TD19
HGNC:18592	NEK10	NIMA related kinase 10	ENSG00000163491	Q6ZWH5
HGNC:18593	NEK11	NIMA related kinase 11	ENSG00000114670	Q8NG66
HGNC:12768	NELFA	negative elongation factor complex member A	ENSG00000185049	Q9H3P2
HGNC:24324	NELFB	negative elongation factor complex member B	ENSG00000188986	Q8WX92
HGNC:13974	NELFE	negative elongation factor complex member E	ENSG00000204356	P18615
HGNC:7750	NELL1	neural EGFL like 1	ENSG00000165973	Q92832
HGNC:7751	NELL2	neural EGFL like 2	ENSG00000184613	Q99435
HGNC:10663	NEMF	nuclear export mediator factor	ENSG00000165525	O60524
HGNC:29001	NEMP1	nuclear envelope integral membrane protein 1	ENSG00000166881	O14524
HGNC:30384	NENF	neudesin neurotrophic factor	ENSG00000117691	Q9UMX5
HGNC:7754	NEO1	neogenin 1	ENSG00000067141	Q92859
HGNC:7756	NES	nestin	ENSG00000132688	P48681
HGNC:14592	NET1	neuroepithelial cell transforming 1	ENSG00000173848	Q7Z628
HGNC:14644	NETO2	neuropilin and tolloid like 2	ENSG00000171208	Q8NC67
HGNC:7758	NEU1	neuraminidase 1	ENSG00000204386	Q99519
HGNC:7759	NEU2	neuraminidase 2	ENSG00000115488	Q9Y3R4
HGNC:7760	NEU3	neuraminidase 3	ENSG00000162139	Q9UQ49
HGNC:21328	NEU4	neuraminidase 4	ENSG00000204099	Q8WWR8
HGNC:7761	NEURL1	neuralized E3 ubiquitin protein ligase 1	ENSG00000107954	O76050
HGNC:35422	NEURL1B	neuralized E3 ubiquitin protein ligase 1B	ENSG00000214357	A8MQ27
HGNC:16156	NEURL2	neuralized E3 ubiquitin protein ligase 2	ENSG00000124257	Q9BR09
HGNC:34410	NEURL4	neuralized E3 ubiquitin protein ligase 4	ENSG00000215041	Q96JN8
HGNC:7762	NEUROD1	neuronal differentiation 1	ENSG00000162992	Q13562
HGNC:13802	NEUROD4	neuronal differentiation 4	ENSG00000123307	Q9HD90
HGNC:13805	NEUROG2	neurogenin 2	ENSG00000178403	Q9H2A3
HGNC:13806	NEUROG3	neurogenin 3	ENSG00000122859	Q9Y4Z2
HGNC:29433	NEXMIF	neurite extension and migration factor	ENSG00000050030	Q5QGS0
HGNC:29557	NEXN	nexilin F-actin binding protein	ENSG00000162614	Q0ZGT2
HGNC:7765	NF1	neurofibromin 1	ENSG00000196712	P21359
HGNC:7773	NF2	neurofibromin 2	ENSG00000186575	P35240
HGNC:29872	NFAM1	NFAT activating protein with ITAM motif 1	ENSG00000235568	Q8NET5
HGNC:29866	NFASC	neurofascin	ENSG00000163531	O94856
HGNC:7774	NFAT5	nuclear factor of activated T cells 5	ENSG00000102908	O94916
HGNC:7775	NFATC1	nuclear factor of activated T cells 1	ENSG00000131196	O95644
HGNC:7776	NFATC2	nuclear factor of activated T cells 2	ENSG00000101096	Q13469
HGNC:7777	NFATC3	nuclear factor of activated T cells 3	ENSG00000072736	Q12968
HGNC:7778	NFATC4	nuclear factor of activated T cells 4	ENSG00000100968	Q14934
HGNC:7780	NFE2	nuclear factor, erythroid 2	ENSG00000123405	Q16621
HGNC:7781	NFE2L1	nuclear factor, erythroid 2 like 1	ENSG00000082641	Q14494
